"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 서구"
"읍면동 : 둔산동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202101","22","32,000","15","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","22","34,000","1","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202101","26","41,500","11","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202101","29","32,000","3","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202101","30","33,000","8","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","9","40,000","7","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202102","17","32,000","14","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202102","19","26,500","1","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202102","19","33,500","11","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202102","20","33,000","9","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","20","40,500","14","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","20","36,800","2","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","26","37,000","2","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","26","38,000","3","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202102","27","34,000","11","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202102","27","38,800","12","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202103","3","34,500","12","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202103","8","32,000","2","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.52","202103","9","33,100","12","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202103","11","41,800","4","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","84.99","202103","12","41,800","8","1993","청사로 282",""
"대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7","202103","13","34,500","8","1993","청사로 282",""
"대전광역시 서구 둔산동","1094","1094","0000","스카이빌","35.4375","202101","10","7,150","10","2003","갈마역로 16",""
"대전광역시 서구 둔산동","1263","1263","0000","시티팰리스7차","23.7766","202102","10","12,000","12","2017","둔산서로 33",""
"대전광역시 서구 둔산동","1263","1263","0000","시티팰리스7차","23.7766","202102","18","11,500","12","2017","둔산서로 33",""
"대전광역시 서구 둔산동","1263","1263","0000","시티팰리스7차","23.7766","202102","27","11,450","11","2017","둔산서로 33",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.105","202101","16","73,500","15","1993","둔산북로 175",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.105","202101","23","73,500","6","1993","둔산북로 175",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.105","202101","30","76,000","9","1993","둔산북로 175",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.105","202102","1","72,500","4","1993","둔산북로 175",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","75.42","202102","1","58,500","5","1993","둔산북로 175",""
"대전광역시 서구 둔산동","1383","1383","0000","영진햇님","75.42","202103","2","57,000","4","1993","둔산북로 175",""
"대전광역시 서구 둔산동","908-3","0908","0003","은초롱","84.93","202102","16","37,500","6","1994","청사로 269",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202101","9","32,000","6","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202101","9","30,000","3","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202101","16","33,500","5","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","84.9","202101","16","49,500","8","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202101","26","34,300","7","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202101","27","30,500","4","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","84.9","202102","2","53,000","12","1994","둔산남로 15",""
