시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201610,8,21750,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,10,30800,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201610,10,22000,8,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201610,12,19800,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,17,27200,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,21,27950,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,22,31700,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201610,24,29000,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201611,4,30700,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201611,8,33000,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,77.3,201611,18,19300,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,84.42,201611,22,24750,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201611,22,30700,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201611,26,27900,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201611,30,30000,3,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,2,31800,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,3,30700,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,3,30500,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,7,32900,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,9,30400,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화라이프,114.28,201612,17,34450,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,127.95,201601,23,35800,9,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201601,28,25000,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201602,1,26500,12,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201602,3,23200,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201602,13,23700,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201602,17,24000,3,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201602,22,21000,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201602,27,27000,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201603,12,24500,12,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201603,21,20700,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201603,31,23950,15,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201604,6,24500,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201604,23,24500,8,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201604,25,24300,9,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201605,10,26700,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201605,20,20500,1,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201605,23,21600,11,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201605,27,22000,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201606,11,25750,3,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201606,28,26300,6,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201607,6,26800,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201607,6,23900,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201607,26,24200,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201607,28,24000,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,4,26000,12,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,4,26700,6,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201608,8,22150,3,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201608,17,22000,13,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,22,26900,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,24,26800,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,26,27500,5,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201608,27,27300,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201608,30,23000,15,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201609,3,20200,2,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,84.37,201609,8,26500,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201609,10,24800,4,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201609,10,24000,1,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201609,10,23000,9,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201610,1,24900,14,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201610,1,22500,7,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,77.02,201610,3,23000,10,1992,둔산로 201
대전광역시 서구 둔산동,1809,1809,0,국화신동아,92.35,201610,15,29950,8,1992,둔산로 201
